video_id,label,label_id,frames
gesture_2_006,Index,1,30
gesture_2_007,Index,1,30
gesture_2_008,Index,1,30
gesture_2_009,Index,1,30
gesture_2_010,Index,1,30
gesture_2_011,Index,1,30
gesture_2_012,Index,1,30
gesture_2_013,Index,1,30
gesture_2_014,Index,1,30
gesture_2_015,Index,1,30
gesture_2_016,Index,1,30
gesture_2_017,Index,1,30
gesture_2_018,Index,1,30
gesture_2_019,Index,1,30
gesture_2_020,Index,1,30
gesture_2_021,Index,1,30
gesture_2_022,Index,1,30
gesture_2_023,Index,1,30
gesture_2_024,Index,1,30
gesture_2_025,Index,1,30
gesture_2_026,Index,1,30
gesture_2_027,Index,1,30
gesture_2_028,Index,1,30
gesture_2_029,Index,1,30
gesture_2_000,L_shape,2,30
gesture_2_001,L_shape,2,30
gesture_2_002,L_shape,2,30
gesture_2_003,L_shape,2,30
gesture_2_004,L_shape,2,30
gesture_2_005,L_shape,2,30
gesture_2_006,L_shape,2,30
gesture_2_007,L_shape,2,30
gesture_2_008,L_shape,2,30
gesture_2_009,L_shape,2,30
gesture_2_010,L_shape,2,30
gesture_2_011,L_shape,2,30
gesture_2_012,L_shape,2,30
gesture_2_013,L_shape,2,30
gesture_2_014,L_shape,2,30
gesture_2_015,L_shape,2,30
gesture_2_016,L_shape,2,30
gesture_2_017,L_shape,2,30
gesture_2_018,L_shape,2,30
gesture_2_019,L_shape,2,30
gesture_2_020,L_shape,2,30
gesture_2_021,L_shape,2,30
gesture_2_022,L_shape,2,30
gesture_2_023,L_shape,2,30
gesture_2_024,L_shape,2,30
gesture_2_025,L_shape,2,30
gesture_2_026,L_shape,2,30
gesture_2_027,L_shape,2,30
gesture_2_028,L_shape,2,30
gesture_2_029,L_shape,2,30
gesture_2_000,Close_L_shape,3,30
gesture_2_001,Close_L_shape,3,30
gesture_2_002,Close_L_shape,3,30
gesture_2_003,Close_L_shape,3,30
gesture_2_004,Close_L_shape,3,30
gesture_2_005,Close_L_shape,3,30
gesture_2_006,Close_L_shape,3,30
gesture_2_007,Close_L_shape,3,30
gesture_2_008,Close_L_shape,3,30
gesture_2_009,Close_L_shape,3,30
gesture_2_010,Close_L_shape,3,30
gesture_2_011,Close_L_shape,3,30
gesture_2_012,Close_L_shape,3,30
gesture_2_013,Close_L_shape,3,30
gesture_2_014,Close_L_shape,3,30
gesture_2_015,Close_L_shape,3,30
gesture_2_016,Close_L_shape,3,30
gesture_2_017,Close_L_shape,3,30
gesture_2_018,Close_L_shape,3,30
gesture_2_019,Close_L_shape,3,30
gesture_2_020,Close_L_shape,3,30
gesture_2_021,Close_L_shape,3,30
gesture_2_022,Close_L_shape,3,30
gesture_2_023,Close_L_shape,3,30
gesture_2_024,Close_L_shape,3,30
gesture_2_025,Close_L_shape,3,30
gesture_2_026,Close_L_shape,3,30
gesture_2_027,Close_L_shape,3,30
gesture_2_028,Close_L_shape,3,30
gesture_2_029,Close_L_shape,3,30
